cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Other degenerative diseases of the nervous system,CHAPTER VI Diseases of the nervous system,,930,"1,812","2,742",949,"1,761","2,710",972,"2,001","2,973",1088,"2,198","3,286","1,083","2,286","3,369","1,284","2,492","3,776","1,508","2,624","4,132","1,532","2,810","4,342","1,656","2,874","4,530","1,792","3,084","4,876"
Alzheimer disease,CHAPTER VI Diseases of the nervous system,,792,"1,692","2,484",811,"1,630","2,441",841,"1,865","2,706",938,"2,049","2,987",918,"2,128","3,046","1,045","2,285","3,330","1,235","2,400","3,635","1,250","2,582","3,832","1,346","2,645","3,991","1,451","2,828","4,279"
"Other degenerative diseases of nervous system, not elsewhere classified",CHAPTER VI Diseases of the nervous system,,138,120,258,138,131,269,131,136,267,150,149,299,165,158,323,239,207,446,273,224,497,282,228,510,310,229,539,341,256,597
Demyelinating diseases of the central nervous system,CHAPTER VI Diseases of the nervous system,,52,97,149,68,91,159,37,107,144,56,108,164,55,102,157,61,112,173,71,114,185,53,131,184,81,124,205,60,117,177
Multiple sclerosis,CHAPTER VI Diseases of the nervous system,,51,90,141,64,87,151,33,99,132,49,103,152,53,96,149,56,106,162,64,111,175,51,125,176,76,120,196,53,110,163
Other acute disseminated demyelination,CHAPTER VI Diseases of the nervous system,,1,0,1,1,0,1,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,1,1,2,1,0,1,1,1,2
Other demyelinating diseases of central nervous system,CHAPTER VI Diseases of the nervous system,,0,7,7,3,4,7,4,8,12,7,5,12,2,4,6,5,4,9,7,3,10,1,5,6,4,4,8,6,6,12
Episodic and paroxysmal disorders,CHAPTER VI Diseases of the nervous system,,199,163,362,192,172,364,187,190,377,210,179,389,210,173,383,175,159,334,188,168,356,221,173,394,193,156,349,206,186,392
Epilepsy,CHAPTER VI Diseases of the nervous system,,153,114,267,154,113,267,145,124,269,166,114,280,157,115,272,137,102,239,149,107,256,157,114,271,147,98,245,151,107,258
Status epilepticus,CHAPTER VI Diseases of the nervous system,,5,7,12,6,5,11,10,13,23,8,6,14,11,13,24,9,10,19,9,16,25,18,10,28,16,10,26,16,19,35
Migraine,CHAPTER VI Diseases of the nervous system,,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Other headache syndromes,CHAPTER VI Diseases of the nervous system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient cerebral ischaemic attacks and related syndromes,CHAPTER VI Diseases of the nervous system,,24,34,58,23,44,67,16,45,61,18,50,68,24,36,60,17,30,47,15,31,46,21,33,54,16,33,49,13,40,53
Sleep disorders,CHAPTER VI Diseases of the nervous system,,17,8,25,9,10,19,16,7,23,18,9,27,17,9,26,11,17,28,15,14,29,25,16,41,14,15,29,25,20,45
"Nerve, nerve root and plexus disorders",CHAPTER VI Diseases of the nervous system,,1,3,4,6,3,9,3,4,7,4,1,5,3,4,7,2,2,4,6,2,8,3,5,8,1,2,3,6,2,8
Disorders of trigeminal nerve,CHAPTER VI Diseases of the nervous system,,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,1,0,1
Facial nerve disorders,CHAPTER VI Diseases of the nervous system,,0,0,0,3,0,3,0,0,0,1,0,1,1,0,1,0,2,2,2,0,2,1,3,4,0,0,0,0,0,0
Disorders of other cranial nerves,CHAPTER VI Diseases of the nervous system,,0,0,0,1,2,3,1,0,1,1,1,2,2,1,3,1,0,1,2,1,3,0,1,1,1,1,2,2,1,3
Nerve root and plexus disorders,CHAPTER VI Diseases of the nervous system,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mononeuropathies of upper limb,CHAPTER VI Diseases of the nervous system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mononeuropathies of lower limb,CHAPTER VI Diseases of the nervous system,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other mononeuropathies,CHAPTER VI Diseases of the nervous system,,1,1,2,2,0,2,2,3,5,2,0,2,0,3,3,0,0,0,1,1,2,0,0,0,0,1,1,3,1,4
Polyneuropathies and other disorders of the peripheral nervous system,CHAPTER VI Diseases of the nervous system,,26,21,47,20,17,37,23,17,40,22,20,42,20,16,36,29,27,56,35,19,54,25,22,47,38,24,62,25,20,45
Hereditary and idiopathic neuropathy,CHAPTER VI Diseases of the nervous system,,3,4,7,2,2,4,5,2,7,3,4,7,3,2,5,4,4,8,4,4,8,0,4,4,5,5,10,6,1,7
Inflammatory polyneuropathy,CHAPTER VI Diseases of the nervous system,,9,2,11,8,7,15,3,6,9,7,5,12,9,8,17,16,7,23,13,7,20,12,7,19,13,11,24,13,8,21
Other polyneuropathies,CHAPTER VI Diseases of the nervous system,,14,15,29,10,8,18,15,9,24,12,11,23,8,6,14,9,15,24,18,7,25,13,11,24,20,7,27,6,11,17
Other disorders of peripheral nervous system,CHAPTER VI Diseases of the nervous system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
Diseases of myoneural junction and muscle,CHAPTER VI Diseases of the nervous system,,84,57,141,76,40,116,69,51,120,90,58,148,90,65,155,106,56,162,87,75,162,94,60,154,93,80,173,98,84,182
Myasthenia gravis and other myoneural disorders,CHAPTER VI Diseases of the nervous system,,18,18,36,18,11,29,15,16,31,16,13,29,19,21,40,19,15,34,19,29,48,21,16,37,17,18,35,19,19,38
Primary disorders of muscles,CHAPTER VI Diseases of the nervous system,,57,32,89,50,22,72,47,27,74,58,41,99,63,35,98,70,28,98,53,30,83,58,33,91,62,41,103,61,46,107
Other myopathies,CHAPTER VI Diseases of the nervous system,,9,7,16,8,7,15,7,8,15,16,4,20,8,9,17,17,13,30,15,16,31,15,11,26,14,21,35,18,19,37
Cerebral palsy and other paralytic syndromes,CHAPTER VI Diseases of the nervous system,,91,69,160,110,65,175,90,75,165,102,74,176,101,70,171,117,82,199,129,86,215,111,67,178,113,77,190,112,85,197
Cerebral palsy,CHAPTER VI Diseases of the nervous system,,38,32,70,52,34,86,47,45,92,50,42,92,63,40,103,65,43,108,64,43,107,56,34,90,64,48,112,62,56,118
Hemiplegia,CHAPTER VI Diseases of the nervous system,,16,8,24,13,16,29,11,11,22,8,13,21,9,15,24,9,8,17,9,11,20,8,7,15,5,5,10,9,5,14
Paraplegia and tetraplegia,CHAPTER VI Diseases of the nervous system,,35,25,60,43,14,57,30,16,46,43,16,59,28,14,42,42,28,70,55,25,80,42,24,66,43,24,67,39,22,61
Other paralytic syndromes,CHAPTER VI Diseases of the nervous system,,2,4,6,2,1,3,2,3,5,1,3,4,1,1,2,1,3,4,1,7,8,5,2,7,1,0,1,2,2,4
Other disorders of the nervous system,CHAPTER VI Diseases of the nervous system,,158,116,274,184,142,326,152,112,264,166,119,285,172,135,307,206,155,361,220,154,374,205,173,378,237,163,400,225,163,388
Disorders of autonomic nervous system,CHAPTER VI Diseases of the nervous system,,31,27,58,36,39,75,24,23,47,38,34,72,42,40,82,46,46,92,58,34,92,42,44,86,57,40,97,59,27,86
Hydrocephalus,CHAPTER VI Diseases of the nervous system,,14,14,28,18,18,36,20,15,35,23,15,38,16,11,27,26,20,46,23,16,39,25,23,48,23,20,43,25,21,46
Toxic encephalopathy,CHAPTER VI Diseases of the nervous system,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,0,1,1,1,0,1,0,0,0,0,1,1
Other disorders of brain,CHAPTER VI Diseases of the nervous system,,98,62,160,111,70,181,90,59,149,93,55,148,99,66,165,110,74,184,127,75,202,119,80,199,126,75,201,123,90,213
Other diseases of spinal cord,CHAPTER VI Diseases of the nervous system,,10,10,20,12,8,20,12,8,20,10,10,20,11,9,20,15,5,20,6,11,17,9,9,18,18,12,30,10,9,19
Other disorders of central nervous system,CHAPTER VI Diseases of the nervous system,,5,2,7,6,7,13,3,5,8,2,5,7,2,6,8,7,10,17,6,16,22,8,17,25,11,16,27,8,12,20
"Postprocedural disorders of nervous system, not elsewhere classified",CHAPTER VI Diseases of the nervous system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other disorders of nervous system, not elsewhere classified",CHAPTER VI Diseases of the nervous system,,0,1,1,1,0,1,2,2,4,0,0,0,2,3,5,0,0,0,0,1,1,1,0,1,2,0,2,0,3,3
"Disorders of eyelid, lacrimal system and orbit",CHAPTER VII Diseases of the eye and adnexa,,3,1,4,0,0,0,0,0,0,0,3,3,0,0,0,1,1,2,0,1,1,0,1,1,0,0,0,0,0,0
Hordeolum and chalazion,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Other inflammation of eyelid,CHAPTER VII Diseases of the eye and adnexa,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of eyelid,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of lacrimal system,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of orbit,CHAPTER VII Diseases of the eye and adnexa,,2,1,3,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0
Disorders of conjunctiva,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conjunctivitis,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of conjunctiva,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Disorders of sclera, cornea, iris and ciliary body",CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Disorders of sclera,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keratitis,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Corneal scars and opacities,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of cornea,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iridocyclitis,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of iris and ciliary body,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of lens,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senile cataract,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other cataract,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of lens,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of choroid and retina,CHAPTER VII Diseases of the eye and adnexa,,2,0,2,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,2,1,1,2,0,1,1,0,1,1
Chorioretinal inflammation,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of choroid,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retinal detachments and breaks,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retinal vascular occlusions,CHAPTER VII Diseases of the eye and adnexa,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other retinal disorders,CHAPTER VII Diseases of the eye and adnexa,,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,2,1,1,2,0,1,1,0,1,1
Glaucoma,CHAPTER VII Diseases of the eye and adnexa,,0,2,2,0,1,1,2,0,2,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
Glaucoma,CHAPTER VII Diseases of the eye and adnexa,,0,2,2,0,1,1,2,0,2,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1
Disorders of vitreous body and globe,CHAPTER VII Diseases of the eye and adnexa,,1,0,1,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,1,2,2,1,3
Disorders of vitreous body,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of globe,CHAPTER VII Diseases of the eye and adnexa,,1,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,1,1,1,2,2,1,3
Disorders of optic nerve and visual pathways,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Optic neuritis,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of optic [2nd] nerve and visual pathways,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"Disorders of ocular muscles, binocular movement, accommodation and refraction",CHAPTER VII Diseases of the eye and adnexa,,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
Paralytic strabismus,CHAPTER VII Diseases of the eye and adnexa,,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Other strabismus,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of binocular movement,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Disorders of refraction and accommodation,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visual disturbances and blindness,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,1,1,0,0,0,1,3,4,1,2,3,0,1,1,5,2,7,0,0,0,0,2,2,0,1,1
Visual disturbances,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Visual impairment including blindness (binocular or monocular),CHAPTER VII Diseases of the eye and adnexa,H54,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3,0,1,1,5,2,7,0,0,0,0,2,2,0,1,1
Other disorders of eye and adnexa,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nystagmus and other irregular eye movements,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of eye and adnexa,CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Postprocedural disorders of eye and adnexa, not elsewhere classified",CHAPTER VII Diseases of the eye and adnexa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diseases of external ear,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,1,0,1,4,0,4,1,0,1,2,0,2,4,1,5
Otitis externa,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,3,0,3,1,0,1,1,0,1,4,0,4,1,0,1,2,0,2,4,1,5
Other disorders of external ear,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diseases of middle ear and mastoid,CHAPTER VIII Diseases of the ear and mastoid process,,1,1,2,3,1,4,3,1,4,3,3,6,5,4,9,6,2,8,4,5,9,0,1,1,6,1,7,4,7,11
Nonsuppurative otitis media,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suppurative and unspecified otitis media,CHAPTER VIII Diseases of the ear and mastoid process,,0,1,1,3,1,4,1,0,1,1,1,2,3,1,4,6,1,7,3,4,7,0,1,1,4,1,5,1,4,5
Eustachian salpingitis and obstruction,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of Eustachian tube,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mastoiditis and related conditions,CHAPTER VIII Diseases of the ear and mastoid process,,1,0,1,0,0,0,2,0,2,1,2,3,2,2,4,0,1,1,0,0,0,0,0,0,2,0,2,2,2,4
Cholesteatoma of middle ear,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,2
Perforation of tympanic membrane,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of tympanic membrane,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of middle ear and mastoid,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diseases of inner ear,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0
Otosclerosis,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders of vestibular function,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0
Other diseases of inner ear,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other disorders of ear,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
Conductive and sensorineural hearing loss,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other hearing loss,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1
Otalgia and effusion of ear,CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other disorders of ear, not elsewhere classified",CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Postprocedural disorders of ear and mastoid process, not elsewhere classified",CHAPTER VIII Diseases of the ear and mastoid process,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acute rheumatic fever,CHAPTER IX Diseases of the circulatory system,,1,4,5,0,4,4,0,6,6,0,2,2,3,5,8,3,9,12,5,15,20,7,7,14,2,9,11,7,7,14
Rheumatic fever without mention of heart involvement,CHAPTER IX Diseases of the circulatory system,,0,2,2,0,2,2,0,4,4,0,1,1,1,1,2,1,2,3,1,1,2,1,2,3,0,2,2,1,1,2
Rheumatic fever with heart involvement,CHAPTER IX Diseases of the circulatory system,,1,2,3,0,2,2,0,2,2,0,1,1,2,4,6,2,7,9,4,14,18,6,5,11,2,7,9,6,6,12
Rheumatic chorea,CHAPTER IX Diseases of the circulatory system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic rheumatic heart diseases,CHAPTER IX Diseases of the circulatory system,,109,222,331,97,215,312,124,208,332,126,233,359,112,207,319,125,242,367,116,242,358,149,257,406,142,239,381,140,227,367
Rheumatic mitral valve diseases,CHAPTER IX Diseases of the circulatory system,,55,112,167,46,98,144,57,115,172,55,115,170,44,100,144,56,110,166,55,95,150,72,113,185,64,95,159,45,92,137
Rheumatic aortic valve diseases,CHAPTER IX Diseases of the circulatory system,,4,5,9,1,4,5,4,2,6,4,6,10,3,5,8,6,6,12,2,7,9,5,6,11,4,4,8,4,7,11
Rheumatic tricuspid valve diseases,CHAPTER IX Diseases of the circulatory system,,14,30,44,10,33,43,13,11,24,19,25,44,19,24,43,18,31,49,17,38,55,14,32,46,14,42,56,30,33,63
Multiple valve diseases,CHAPTER IX Diseases of the circulatory system,,25,40,65,27,38,65,34,43,77,33,53,86,31,44,75,29,64,93,27,68,95,37,67,104,47,71,118,49,69,118
Other rheumatic heart diseases,CHAPTER IX Diseases of the circulatory system,,11,35,46,13,42,55,16,37,53,15,34,49,15,34,49,16,31,47,15,34,49,21,39,60,13,27,40,12,26,38
Hypertensive diseases,CHAPTER IX Diseases of the circulatory system,,628,"1,205","1,833",630,"1,215","1,845",561,"1,171","1,732",602,"1,203","1,805",664,"1,197","1,861",765,"1,388","2,153",801,"1,428","2,229",836,"1,468","2,304",874,"1,354","2,228",850,"1,467","2,317"
Essential (primary) hypertension,CHAPTER IX Diseases of the circulatory system,I10,156,339,495,172,360,532,144,342,486,154,362,516,149,351,500,191,380,571,195,383,578,174,385,559,210,369,579,198,394,592
Hypertensive heart disease,CHAPTER IX Diseases of the circulatory system,,242,455,697,224,447,671,222,432,654,235,447,682,267,476,743,325,620,945,337,604,941,398,663,"1,061",354,554,908,380,614,994
Hypertensive renal disease,CHAPTER IX Diseases of the circulatory system,,196,335,531,200,336,536,161,331,492,182,324,506,215,302,517,148,254,402,151,288,439,161,250,411,207,261,468,164,266,430
Hypertensive heart and renal disease,CHAPTER IX Diseases of the circulatory system,,34,76,110,34,72,106,34,66,100,31,70,101,33,68,101,101,134,235,118,153,271,103,170,273,103,170,273,108,193,301
Secondary hypertension,CHAPTER IX Diseases of the circulatory system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischaemic heart diseases,CHAPTER IX Diseases of the circulatory system,,"12,546","11,267","23,813","12,096","10,491","22,587","11,723","9,998","21,721","11,741","9,785","21,526","10,954","9,154","20,108","11,024","8,754","19,778","11,106","9,093","20,199","11,163","8,736","19,899","10,870","8,207","19,077","10,514","8,076","18,590"
Angina pectoris,CHAPTER IX Diseases of the circulatory system,,8,21,29,11,14,25,18,23,41,9,22,31,10,18,28,10,18,28,15,17,32,9,14,23,13,11,24,6,19,25
Acute myocardial infarction,CHAPTER IX Diseases of the circulatory system,,"5,570","5,594","11,164","5,202","5,141","10,343","5,057","4,886","9,943","5,028","4,791","9,819","4,750","4,543","9,293","4,544","4,069","8,613","4,374","4,258","8,632","4,447","4,014","8,461","4,258","3,753","8,011","4,171","3,642","7,813"
Subsequent myocardial infarction,CHAPTER IX Diseases of the circulatory system,,6,4,10,2,5,7,4,1,5,6,5,11,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Certain current complications following acute myocardial infarction,CHAPTER IX Diseases of the circulatory system,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other acute ischaemic heart diseases,CHAPTER IX Diseases of the circulatory system,,139,176,315,157,138,295,156,147,303,91,143,234,158,138,296,158,172,330,170,169,339,182,197,379,172,183,355,171,202,373
Chronic ischaemic heart disease,CHAPTER IX Diseases of the circulatory system,,"6,823","5,472","12,295","6,724","5,193","11,917","6,488","4,941","11,429","6,607","4,824","11,431","6,034","4,454","10,488","6,312","4,495","10,807","6,547","4,649","11,196","6,525","4,511","11,036","6,427","4,260","10,687","6,166","4,213","10,379"
Pulmonary heart disease and diseases of pulmonary circulation,CHAPTER IX Diseases of the circulatory system,,241,359,600,230,326,556,210,322,532,254,317,571,220,393,613,242,366,608,287,436,723,297,429,726,302,403,705,263,427,690
Pulmonary embolism,CHAPTER IX Diseases of the circulatory system,,143,201,344,134,176,310,122,167,289,132,148,280,116,180,296,140,180,320,165,202,367,151,190,341,155,176,331,129,171,300
Other pulmonary heart diseases,CHAPTER IX Diseases of the circulatory system,,96,158,254,95,150,245,85,154,239,121,169,290,104,213,317,99,186,285,121,234,355,145,239,384,145,226,371,132,254,386
Other diseases of pulmonary vessels,CHAPTER IX Diseases of the circulatory system,,2,0,2,1,0,1,3,1,4,1,0,1,0,0,0,3,0,3,1,0,1,1,0,1,2,1,3,2,2,4
